Group,Team,P,W,D,L,Pts,GF,GA,GD
A,Mexico,3,2,1,0,7,5,3,2
A,South Korea,3,2,0,1,6,5,4,1
A,Czech Republic,3,1,1,1,4,4,3,1
A,South Africa,3,0,0,3,0,2,6,-4
B,Canada,3,2,1,0,7,6,1,5
B,Switzerland,3,2,1,0,7,5,2,3
B,Bosnia and Herzegovina,3,1,0,2,3,3,4,-1
B,Qatar,3,0,0,3,0,0,7,-7
C,Brazil,3,3,0,0,9,10,2,8
C,Morocco,3,2,0,1,6,8,3,5
C,Scotland,3,1,0,2,3,4,5,-1
C,Haiti,3,0,0,3,0,1,13,-12
D,Turkey,3,3,0,0,9,6,2,4
D,Paraguay,3,1,1,1,4,4,4,0
D,United States,3,0,2,1,2,3,4,-1
D,Australia,3,0,1,2,1,2,5,-3
E,Germany,2,2,0,0,6,4,2,2
E,Ecuador,2,0,1,1,1,2,3,-1
E,Ivory Coast,2,0,1,1,1,2,3,-1
E,Curacao,0,0,0,0,0,0,0,0
F,Netherlands,3,3,0,0,9,7,2,5
F,Japan,3,2,0,1,6,5,4,1
F,Sweden,3,1,0,2,3,4,5,-1
F,Tunisia,3,0,0,3,0,2,7,-5
G,Belgium,3,3,0,0,9,6,2,4
G,Egypt,3,1,1,1,4,4,4,0
G,Iran,3,1,1,1,4,3,4,-1
G,New Zealand,3,0,0,3,0,3,6,-3
H,Spain,2,2,0,0,6,5,1,4
H,Uruguay,2,1,0,1,3,4,3,1
H,Cape Verde,0,0,0,0,0,0,0,0
H,Saudi Arabia,2,0,0,2,0,1,6,-5
I,France,3,3,0,0,9,10,1,9
I,Senegal,3,2,0,1,6,7,4,3
I,Norway,3,1,0,2,3,3,4,-1
I,Iraq,3,0,0,3,0,1,12,-11
J,Argentina,2,2,0,0,6,4,2,2
J,Algeria,2,0,1,1,1,2,3,-1
J,Austria,2,0,1,1,1,2,3,-1
J,Jordan,0,0,0,0,0,0,0,0
K,Portugal,1,1,0,0,3,2,1,1
K,DR Congo,0,0,0,0,0,0,0,0
K,Uzbekistan,0,0,0,0,0,0,0,0
K,Colombia,1,0,0,1,0,1,2,-1
L,England,3,3,0,0,9,6,3,3
L,Croatia,3,2,0,1,6,5,4,1
L,Ghana,3,0,1,2,1,3,5,-2
L,Panama,3,0,1,2,1,3,5,-2
